Date,Country,Region,Chain,Parent_SKU,SKU_Description,Total_Qty_CTN
2024-08-08,Malaysia,Central,99 Speedmart,SKU-D001,Diaper Pants M,49
2024-08-08,Malaysia,Central,99 Speedmart,SKU-D002,Diaper Pants L,49
2024-08-08,Malaysia,Central,99 Speedmart,SKU-D003,Diaper Tape NB,32
2024-08-08,Malaysia,Central,99 Speedmart,SKU-S001,Sanitary Pad Day,37
2024-08-08,Malaysia,Central,99 Speedmart,SKU-S002,Sanitary Pad Night,35
2024-08-08,Malaysia,Central,AEON,SKU-D001,Diaper Pants M,118
2024-08-08,Malaysia,Central,AEON,SKU-D002,Diaper Pants L,142
2024-08-08,Malaysia,Central,AEON,SKU-D003,Diaper Tape NB,87
2024-08-08,Malaysia,Central,AEON,SKU-S001,Sanitary Pad Day,137
2024-08-08,Malaysia,Central,AEON,SKU-S002,Sanitary Pad Night,81
2024-08-08,Malaysia,Central,Lotus's,SKU-D001,Diaper Pants M,47
2024-08-08,Malaysia,Central,Lotus's,SKU-D002,Diaper Pants L,27
2024-08-08,Malaysia,Central,Lotus's,SKU-D003,Diaper Tape NB,22
2024-08-08,Malaysia,Central,Lotus's,SKU-S001,Sanitary Pad Day,31
2024-08-08,Malaysia,Central,Lotus's,SKU-S002,Sanitary Pad Night,23
2024-08-08,Malaysia,Northern,Giant,SKU-D001,Diaper Pants M,0
2024-08-08,Malaysia,Northern,Giant,SKU-D002,Diaper Pants L,28
2024-08-08,Malaysia,Northern,Giant,SKU-D003,Diaper Tape NB,20
2024-08-08,Malaysia,Northern,Giant,SKU-S001,Sanitary Pad Day,21
2024-08-08,Malaysia,Northern,Giant,SKU-S002,Sanitary Pad Night,21
2024-08-08,Malaysia,Northern,Lotus's,SKU-D001,Diaper Pants M,172
2024-08-08,Malaysia,Northern,Lotus's,SKU-D002,Diaper Pants L,115
2024-08-08,Malaysia,Northern,Lotus's,SKU-D003,Diaper Tape NB,102
2024-08-08,Malaysia,Northern,Lotus's,SKU-S001,Sanitary Pad Day,160
2024-08-08,Malaysia,Northern,Lotus's,SKU-S002,Sanitary Pad Night,122
2024-08-08,Malaysia,Northern,Mydin,SKU-D001,Diaper Pants M,50
2024-08-08,Malaysia,Northern,Mydin,SKU-D002,Diaper Pants L,37
2024-08-08,Malaysia,Northern,Mydin,SKU-D003,Diaper Tape NB,29
2024-08-08,Malaysia,Northern,Mydin,SKU-S001,Sanitary Pad Day,33
2024-08-08,Malaysia,Northern,Mydin,SKU-S002,Sanitary Pad Night,31
2024-08-08,Malaysia,Southern,AEON,SKU-D001,Diaper Pants M,128
2024-08-08,Malaysia,Southern,AEON,SKU-D002,Diaper Pants L,95
2024-08-08,Malaysia,Southern,AEON,SKU-D003,Diaper Tape NB,61
2024-08-08,Malaysia,Southern,AEON,SKU-S001,Sanitary Pad Day,105
2024-08-08,Malaysia,Southern,AEON,SKU-S002,Sanitary Pad Night,73
2024-08-08,Malaysia,Southern,Econsave,SKU-D001,Diaper Pants M,94
2024-08-08,Malaysia,Southern,Econsave,SKU-D002,Diaper Pants L,92
2024-08-08,Malaysia,Southern,Econsave,SKU-D003,Diaper Tape NB,40
2024-08-08,Malaysia,Southern,Econsave,SKU-S001,Sanitary Pad Day,109
2024-08-08,Malaysia,Southern,Econsave,SKU-S002,Sanitary Pad Night,73
2024-08-08,Malaysia,Southern,Giant,SKU-D001,Diaper Pants M,13
2024-08-08,Malaysia,Southern,Giant,SKU-D002,Diaper Pants L,7
2024-08-08,Malaysia,Southern,Giant,SKU-D003,Diaper Tape NB,6
2024-08-08,Malaysia,Southern,Giant,SKU-S001,Sanitary Pad Day,13
2024-08-08,Malaysia,Southern,Giant,SKU-S002,Sanitary Pad Night,8
2024-08-08,Singapore,East,Cold Storage,SKU-D001,Diaper Pants M,21
2024-08-08,Singapore,East,Cold Storage,SKU-D002,Diaper Pants L,17
2024-08-08,Singapore,East,Cold Storage,SKU-D003,Diaper Tape NB,10
2024-08-08,Singapore,East,Cold Storage,SKU-S001,Sanitary Pad Day,14
2024-08-08,Singapore,East,Cold Storage,SKU-S002,Sanitary Pad Night,16
2024-08-08,Singapore,East,NTUC FairPrice,SKU-D001,Diaper Pants M,26
2024-08-08,Singapore,East,NTUC FairPrice,SKU-D002,Diaper Pants L,33
2024-08-08,Singapore,East,NTUC FairPrice,SKU-D003,Diaper Tape NB,13
2024-08-08,Singapore,East,NTUC FairPrice,SKU-S001,Sanitary Pad Day,18
2024-08-08,Singapore,East,NTUC FairPrice,SKU-S002,Sanitary Pad Night,18
2024-08-08,Singapore,East,Sheng Siong,SKU-D001,Diaper Pants M,91
2024-08-08,Singapore,East,Sheng Siong,SKU-D002,Diaper Pants L,53
2024-08-08,Singapore,East,Sheng Siong,SKU-D003,Diaper Tape NB,43
2024-08-08,Singapore,East,Sheng Siong,SKU-S001,Sanitary Pad Day,76
2024-08-08,Singapore,East,Sheng Siong,SKU-S002,Sanitary Pad Night,59
